title,domestic_revenue,distributor,budget,MPAA,genres,release_date
Pop Aye,"$77,976 ",Kino Lorber,N/A,N/A,Drama,28-Jun-17
The Grateful Dead Meet-Up 2018,"$600,554 ",Fathom Events,N/A,N/A,"Documentary,Music",4-Apr-18
Marshall,"$10,051,659 ",Open Road Films (II),"$12,000,000 ",PG-13,"Biography,Crime,Drama,History",13-Oct-17
"DCI 2019: Big, Loud & Live 16","$603,320 ",Fathom Events,N/A,N/A,Documentary,9-Aug-18
Stefan Zweig: Farewell to Europe,"$78,372 ",First Run,N/A,N/A,"Biography,Drama,History",12-May-17
The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,"$605,764 ",Fathom Events,N/A,N/A,N/A,15-Apr-18
Night of the Living Dead,"$89,029 ",Janus Films,N/A,N/A,Horror,13-Oct-17
The Sound of Music,"$616,171 ",Fathom Events,"$8,200,000 ",N/A,"Biography,Drama,Family,Musical,Romance",9-Sep-18
Foxtrot,"$618,883 ",Sony Pictures Classics,N/A,R,Drama,2-Mar-18
The Transformers,"$619,597 ",Fathom Events,N/A,N/A,"Action,Adventure,Animation,Family,Sci-Fi",27-Sep-18
Lizzie,"$642,157 ",Roadside Attractions,N/A,R,"Biography,Crime,Drama,Horror,Mystery,Thriller",14-Sep-18
The Florida Project,"$5,904,366 ",A24,N/A,R,Drama,6-Oct-17
Ponyo,"$653,072 ",Fathom Events,N/A,N/A,"Adventure,Animation,Comedy,Family,Fantasy",25-Mar-18
Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982 ",Fathom Events,N/A,N/A,"Action,Animation,Sci-Fi",15-Sep-18
Anthropocene: The Human Epoch,"$104,806 ",Kino Lorber,N/A,N/A,Documentary,25-Sep-19
"Love, Gilda","$626,318 ",Magnolia Pictures,N/A,N/A,Documentary,21-Sep-18
Itzhak,"$607,290 ",Greenwich Entertainment,N/A,N/A,Documentary,9-Mar-18
Mojin: The Worm Valley,"$101,516 ",Well Go USA Entertainment,N/A,N/A,"Action,Adventure,Fantasy",4-Jan-19
Walking on Water,"$102,140 ",Kino Lorber,N/A,N/A,"Adventure,Comedy,Documentary,History",17-May-19
The Audience,"$106,529 ",Fathom Events,N/A,N/A,Drama,3-Jun-19
The Divine Fury,"$102,982 ",Well Go USA Entertainment,N/A,N/A,"Action,Horror,Thriller",16-Aug-19
"Belle and Sebastian, Friends for Life","$105,890 ",Entertainment One,N/A,N/A,"Adventure,Family",25-Jan-19
Miss & Mrs. Cops,"$104,578 ",CJ Entertainment,N/A,N/A,"Action,Comedy,Crime",10-May-19
Penguin Highway,"$104,567 ",Eleven Arts,N/A,Not Rated,"Adventure,Animation,Family,Fantasy,Mystery",12-Apr-19
Downtown 81,"$119,152 ",Metrograph Pictures,N/A,N/A,"Comedy,Drama,Musical",25-Oct-19
Mob Psycho 100,"$115,766 ",Fathom Events,N/A,N/A,"Sci-Fi,Thriller",5-Jan-19
Be Natural: The Untold Story of Alice Guy-Blaché,"$115,265 ",Zeitgeist Films,N/A,N/A,Documentary,19-Apr-19
The Kingmaker,"$122,587 ",Greenwich Entertainment,N/A,R,Documentary,8-Nov-19
Cold Case Hammarskjöld,"$104,965 ",Magnolia Pictures,N/A,N/A,"Animation,Documentary,History",16-Aug-19
"Ruben Brandt, Collector","$117,963 ",Sony Pictures Classics,N/A,R,"Action,Animation,Crime,Drama,Thriller",15-Feb-19
The Brink,"$106,057 ",Magnolia Pictures,N/A,Not Rated,Documentary,28-Mar-19
Portrait of a Lady on Fire,"$2,471,585 ",Neon,N/A,R,"Drama,Romance",6-Dec-19
Branagh Theatre Live: The Winter's Tale,"$141,143 ",Trafalgar Releasing,N/A,N/A,Drama,4-Dec-19
The Fall of the American Empire,"$2,178,460 ",Entertainment One,N/A,R,"Comedy,Crime",29-Jun-18
Babylon,"$109,749 ",Kino Lorber,N/A,N/A,Drama,8-Mar-19
Police Story,"$113,164 ",Janus Films,N/A,PG-13,"Action,Comedy,Crime,Thriller",1-Feb-19
Easy Rider,"$123,276 ",Fathom Events,"$360,000 ",N/A,"Adventure,Drama",14-Jul-19
Mary Magdalene,"$124,741 ",IFC Films,N/A,R,"Biography,Drama",12-Apr-19
A Tuba to Cuba,"$121,772 ",Blue Fox Entertainment,N/A,N/A,"Documentary,History,Music",15-Feb-19
Avant qu'on explose,"$119,894 ",Entertainment One,N/A,N/A,Comedy,1-Mar-19
The Reports on Sarah and Saleem,"$117,479 ",Dada Films,N/A,N/A,"Crime,Drama,Mystery,Romance,War",12-Jun-19
Because of Grácia,"$90,878 ",ArtAffects Entertainment,N/A,PG-13,"Comedy,Drama,Romance",15-Sep-17
Dina,"$90,503 ",The Orchard,N/A,N/A,Documentary,6-Oct-17
The Fencer,"$95,952 ",CFI Releasing,N/A,N/A,"Biography,Drama,History,Sport",21-Jul-17
Lost & Found,"$125,173 ",Hyper Film,N/A,N/A,"Comedy,Drama",29-Mar-19
Keep Watching,"$94,178 ",Screen Gems,N/A,R,"Horror,Thriller",31-Oct-17
BPM (Beats Per Minute),"$125,189 ",The Orchard,N/A,N/A,Drama,20-Oct-17
Paris Is Burning,"$125,677 ",Janus Films,"$500,000 ",R,Documentary,14-Jun-19
The King's Case Note,"$90,959 ",CJ Entertainment,N/A,N/A,"Comedy,Mystery",28-Apr-17
Memoir of a Murderer,"$91,335 ",Well Go USA Entertainment,N/A,N/A,"Action,Crime,Thriller",8-Sep-17
Poster Boys,"$97,049 ",Sony Pictures Releasing,N/A,PG-13,Comedy,8-Sep-17
Sully,"$125,070,033 ",Warner Bros.,"$60,000,000 ",PG-13,"Biography,Drama",9-Sep-16
"Tim Timmerman, Hope of America","$97,727 ",Purdie Distribution,N/A,PG-13,"Comedy,Romance",2-Mar-17
Score: A Film Music Documentary,"$101,382 ",Gravitas Ventures,N/A,N/A,"Documentary,Music",16-Jun-17
The Mayor,"$96,777 ",Well Go USA Entertainment,N/A,N/A,Drama,28-Apr-17
Some Like It Hot,"$100,026 ",China Lion Film Distribution,N/A,N/A,Comedy,13-Jan-17
The Lure,"$101,657 ",Janus Films,N/A,N/A,"Comedy,Drama,Fantasy,Horror,Musical,Thriller",1-Feb-17
Fabricated City,"$104,874 ",CJ Entertainment,N/A,N/A,"Action,Crime",24-Feb-17
The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,"$104,837 ",Fathom Events,N/A,N/A,N/A,9-Apr-17
Munna Michael,"$99,629 ",Eros International,N/A,N/A,"Action,Drama,Music,Romance",21-Jul-17
Slack Bay,"$112,621 ",Kino Lorber,N/A,N/A,"Comedy,Fantasy",10-Mar-17
The Trouble with Terkel,"$110,289 ",Indican Pictures,N/A,N/A,"Animation,Comedy,Drama,Musical,Thriller",3-Feb-17
Born to Be Wild,"$25,967,893 ",Warner Bros.,N/A,N/A,"Adventure,Documentary,Short",8-Apr-11
Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130 ",Fathom Events,N/A,N/A,N/A,10-Dec-18
Walking Out,"$101,947 ",IFC Films,N/A,PG-13,"Drama,Thriller",5-Oct-17
SEED: The Untold Story,"$207,825 ","Collective Eye, Inc.",N/A,N/A,Documentary,22-Aug-16
The Trump Prophecy,"$671,198 ",Fathom Events,N/A,N/A,Drama,2-Oct-18
Vox Lux,"$727,119 ",Neon,N/A,R,"Drama,Music",7-Dec-18
Bombshell: The Hedy Lamarr Story,"$820,300 ",Zeitgeist Films,N/A,N/A,"Biography,Documentary,History,War",24-Nov-17
Like Crazy,"$107,362 ",Strand Releasing,N/A,N/A,"Comedy,Drama",5-May-17
Reset,"$108,970 ",Well Go USA Entertainment,N/A,N/A,"Action,Sci-Fi,Thriller",30-Jun-17
The King's Choice,"$113,231 ",The Samuel Goldwyn Company,N/A,N/A,"Biography,Drama,History,War",22-Sep-17
Monster Hunt 2,"$706,153 ",Lionsgate,N/A,N/A,"Adventure,Comedy,Fantasy,Sci-Fi",16-Feb-18
Abacus: Small Enough to Jail,"$113,278 ",PBS Distribution,N/A,N/A,Documentary,19-May-17
HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875 ",Fathom Events,N/A,N/A,"Documentary,Sport",15-Sep-18
Mirai,"$812,794 ",GKIDS,N/A,PG,"Adventure,Animation,Drama,Family,Fantasy",29-Nov-18
Blaze,"$704,955 ",IFC Films,N/A,R,"Biography,Drama,Music",17-Aug-18
Boundaries,"$703,438 ",Sony Pictures Classics,N/A,R,"Comedy,Drama",22-Jun-18
The Island,"$670,883 ",Well Go USA Entertainment,N/A,N/A,"Comedy,Drama",10-Aug-18
The Little Stranger,"$713,143 ",Focus Features,N/A,R,"Drama,Horror,Mystery",31-Aug-18
The Catcher Was a Spy,"$725,223 ",IFC Films,N/A,R,"Biography,Drama,War",22-Jun-18
On Chesil Beach,"$745,971 ",Bleecker Street Media,N/A,R,"Drama,Music,Romance",18-May-18
How Long Will I Love U,"$746,933 ",Well Go USA Entertainment,N/A,N/A,"Comedy,Fantasy,Romance",25-May-18
1945,"$1,006,193 ",Menemsha Films,N/A,N/A,Drama,1-Nov-17
The Party,"$749,827 ",Roadside Attractions,N/A,R,"Comedy,Drama",16-Feb-18
Pokémon the Movie: The Power of Us,"$789,170 ",Fathom Events,N/A,N/A,"Action,Adventure,Animation,Family,Fantasy",24-Nov-18
Border,"$771,930 ",Neon,N/A,R,"Crime,Drama,Fantasy,Romance,Thriller",26-Oct-18
Woodstock,"$126,562 ",Fathom Events,N/A,N/A,"Documentary,History,Music",15-Aug-19
The Zoya Factor,"$128,831 ",FIP,N/A,N/A,"Comedy,Drama,Romance,Sport",20-Sep-19
Peppa Celebrates Chinese New Year,"$131,225 ",STX Entertainment,N/A,G,"Animation,Family",6-Feb-19
Made in Abyss: Journey's Dawn,"$134,047 ",Fathom Events,N/A,N/A,"Adventure,Animation,Fantasy,Mystery,Sci-Fi",20-Mar-19
Okko's Inn,"$134,787 ",GKIDS,N/A,PG,"Adventure,Animation,Drama,Family,Fantasy",22-Apr-19
The Polar Express,"$731,018 ",Warner Bros.,"$165,000,000 ",N/A,"Adventure,Animation,Comedy,Family,Fantasy,Musical",2-Nov-18
Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888 ",Fathom Events,N/A,N/A,Music,7-Nov-19
Burning,"$718,991 ",Well Go USA Entertainment,N/A,N/A,"Drama,Mystery",26-Oct-18
Who Will Write Our History,"$138,039 ",Abramorama,N/A,N/A,"Documentary,History",18-Jan-19
The Last Resort,"$158,646 ",Kino Lorber,N/A,N/A,"Documentary,History",21-Dec-18
Mister America,"$130,897 ",Magnolia Pictures,N/A,R,Comedy,9-Oct-19
Wilder vs. Ortiz,"$139,207 ",Fathom Events,N/A,N/A,Sport,23-Nov-19
Canelo vs. Kovalev,"$140,820 ",Fathom Events,N/A,N/A,N/A,2-Nov-19
Doctor Who: Logopolis,"$143,248 ",Fathom Events,N/A,N/A,N/A,13-Mar-19
Hampstead,"$144,396 ",IFC Films,N/A,PG-13,"Comedy,Drama,Romance",14-Jun-19
Palau the Movie,"$134,696 ",Trafalgar Releasing,N/A,N/A,"Biography,Drama",29-Mar-19
The Other Story,"$135,191 ",Strand Releasing,N/A,N/A,Drama,28-Jun-19
Rafiki,"$137,968 ",Film Movement,N/A,N/A,"Drama,Romance",19-Apr-19
Framing John DeLorean,"$145,625 ",IFC Films,N/A,N/A,"Biography,Documentary,Drama",7-Jun-19
"We Love You, Sally Carmichael!","$113,435 ",Purdie Distribution,N/A,PG,Comedy,4-Aug-17
The Thousand Faces of Dunjia,"$124,187 ",Well Go USA Entertainment,N/A,N/A,"Action,Adventure,Fantasy",15-Dec-17
The B-Side: Elsa Dorfman's Portrait Photography,"$125,227 ",Neon,N/A,R,Documentary,30-Jun-17
Inferno,"$34,343,574 ",Sony Pictures Releasing,"$75,000,000 ",PG-13,"Action,Crime,Drama,Mystery,Thriller",28-Oct-16
Big Sonia,"$212,471 ",Argot Pictures,N/A,N/A,"Documentary,Family,History",17-Nov-17
Dogman,"$148,225 ",Magnolia Pictures,N/A,N/A,"Crime,Drama,Thriller",12-Apr-19
City of Ghosts,"$128,015 ",IFC Films,N/A,R,"Documentary,War",7-Jul-17
War and Peace,"$148,503 ",Janus Films,N/A,N/A,"Drama,History,Romance,War",15-Feb-19
Moka,"$129,547 ",Film Movement,N/A,N/A,Drama,14-Jun-17
Hubble 3D,"$52,520,499 ",Warner Bros.,N/A,N/A,Documentary,19-Mar-10
Things to Come,"$388,140 ",IFC Films,N/A,PG-13,Drama,2-Dec-16
Explosion,"$122,700 ",China Lion Film Distribution,N/A,N/A,"Action,Thriller",24-Nov-17
Dawson City: Frozen Time,"$132,369 ",Kino Lorber,N/A,N/A,"Documentary,History",2-Oct-16
Thelma,"$147,391 ",The Orchard,N/A,N/A,"Drama,Fantasy,Horror,Mystery,Romance,Thriller",10-Nov-17
Our Time Will Come,"$114,560 ",China Lion Film Distribution,N/A,N/A,"Drama,War",7-Jul-17
The Other Side of Hope,"$183,943 ",Janus Films,N/A,N/A,"Comedy,Drama",1-Dec-17
Buena Vista Social Club: Adios,"$123,445 ",Broad Green Pictures,N/A,PG,Documentary,26-May-17
Irving Berlin's Holiday Inn The Broadway Musical,"$144,550 ",Fathom Events,N/A,N/A,Musical,16-Nov-17
Marie Curie: The Courage of Knowledge,"$127,986 ",Society Films,N/A,N/A,"Biography,Drama,Romance",30-Jun-17
The Handmaiden,"$2,006,788 ",Magnolia Pictures,N/A,N/A,"Drama,Romance,Thriller",21-Oct-16
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$133,006 ",Abramorama,N/A,N/A,Documentary,16-Jun-17
Like Arrows,"$817,990 ",Fathom Events,N/A,N/A,Drama,1-May-18
Made in India,"$790,628 ",Yash Raj Films,N/A,N/A,"Comedy,Drama",28-Sep-18
BANDSTAND: The Broadway Musical on Screen,"$839,554 ",Fathom Events,N/A,N/A,Musical,25-Jun-18
The Metropolitan Opera HD Live: Nico Muhly: Marnie,"$849,710 ",Fathom Events,N/A,N/A,Musical,10-Nov-18
Beast,"$800,365 ",Roadside Attractions,N/A,R,"Crime,Drama,Mystery,Romance",11-May-18
Schindler's List,"$833,050 ",Universal Pictures,"$22,000,000 ",R,"Biography,Drama,History",7-Dec-18
The Last Dalai Lama?,"$145,524 ",Matson Films,N/A,N/A,Documentary,7-Jul-17
A Man Called Ove,"$3,479,315 ",Music Box Films,N/A,PG-13,"Comedy,Drama,Romance",30-Sep-16
Lupin the 3rd: Castle of Cagliostro,"$142,425 ",Eleven Arts,N/A,N/A,"Adventure,Animation,Family,Fantasy",8-Sep-17
Kedarnath,"$901,131 ",PackYourBag Films,N/A,N/A,"Drama,Romance",7-Dec-18
Tea With the Dames,"$889,343 ",IFC Films,N/A,N/A,Documentary,21-Sep-18
Let the Sunshine In,"$892,421 ",IFC Films,N/A,N/A,"Comedy,Drama,Romance",27-Apr-18
The Star,"$40,852,824 ",Sony Pictures Releasing,"$20,000,000 ",PG,"Adventure,Animation,Comedy,Family,Fantasy",17-Nov-17
Tiger Zinda Hai,"$5,560,921 ",Yash Raj Films,"$20,470,000 ",N/A,"Action,Adventure,Thriller",22-Dec-17
Little Italy,"$990,230 ",Entertainment One,N/A,R,"Comedy,Romance",24-Aug-18
Kirk Cameron: Connect,"$918,127 ",Fathom Events,N/A,N/A,Documentary,27-Feb-18
White Christmas,"$928,298 ",Fathom Events,N/A,N/A,"Comedy,Musical,Romance",9-Dec-18
Film Stars Don't Die in Liverpool,"$1,026,124 ",Sony Pictures Classics,N/A,R,"Biography,Drama,Romance",29-Dec-17
The Dawn Wall,"$970,032 ",Fathom Events,N/A,N/A,"Biography,Documentary,Sport",19-Sep-18
Trial by Fire,"$148,504 ",Roadside Attractions,N/A,R,"Biography,Drama",17-May-19
Little Woods,"$150,010 ",Neon,N/A,R,"Crime,Drama,Western",19-Apr-19
The Miseducation of Cameron Post,"$904,703 ",FilmRise,N/A,N/A,Drama,3-Aug-18
The Cakemaker,"$875,751 ",Strand Releasing,N/A,N/A,Drama,29-Jun-18
Glory,"$150,801 ",Fathom Events,N/A,N/A,"Biography,Drama,History,War",21-Jul-19
Peterloo,"$151,971 ",Amazon Studios,N/A,PG-13,"Drama,History",5-Apr-19
Halston,"$151,991 ",The Orchard,N/A,Not Rated,"Biography,Documentary",24-May-19
Before You Know It,"$151,507 ",1091 Media,N/A,N/A,"Comedy,Drama",30-Aug-19
Them That Follow,"$159,218 ",1091 Media,N/A,R,"Drama,Thriller",2-Aug-19
Monty Python's Life of Brian,"$161,507 ",Trafalgar Releasing,N/A,N/A,Comedy,18-Apr-19
Batman,"$159,419 ",Fathom Events,"$35,000,000 ",N/A,"Action,Adventure",4-May-19
"Diana Ross: Her Life, Love and Legacy","$160,968 ",Fathom Events,N/A,N/A,N/A,26-Mar-19
The Death and Life of John F. Donovan,"$152,713 ",Entertainment One,N/A,R,Drama,23-Aug-19
The World Before Your Feet,"$268,644 ",Greenwich Entertainment,N/A,N/A,Documentary,21-Nov-18
Indian Horse,"$2,097,362 ",Elevation Pictures,N/A,N/A,Drama,13-Apr-18
Jay Myself,"$151,331 ",Oscilloscope,N/A,N/A,"Biography,Documentary",31-Jul-19
Bright Ones,"$165,627 ",Fathom Events,N/A,PG,Musical,22-Apr-19
INXS: Baby Live at Wembly Stadium,"$161,750 ",Fathom Events,N/A,N/A,N/A,9-Dec-19
Money,"$155,732 ",CJ Entertainment,N/A,N/A,"Crime,Drama",21-Mar-19
Synonyms,"$205,552 ",Kino Lorber,N/A,N/A,"Comedy,Drama",25-Oct-19
The Ex-File 3: The Return of The Exes,"$838,959 ",China Lion Film Distribution,N/A,N/A,"Comedy,Romance",29-Dec-17
Bad Guys: The Movie,"$166,972 ",CJ Entertainment,N/A,N/A,"Action,Crime,Thriller",20-Sep-19
Jack Reacher: Never Go Back,"$58,697,076 ",Paramount Pictures,"$60,000,000 ",PG-13,"Action,Thriller",21-Oct-16
Asbury Park: Riot Redemption Rock 'n Roll,"$167,684 ",Trafalgar Releasing,N/A,N/A,"Documentary,Music",22-May-19
Sunset,"$164,906 ",Sony Pictures Classics,N/A,R,"Drama,Mystery",22-Mar-19
Bombshell: The Hedy Lamarr Story,"$820,300 ",Zeitgeist Films,N/A,N/A,"Biography,Documentary,History,War",24-Nov-17
Frankie,"$171,781 ",Sony Pictures Classics,N/A,PG-13,Drama,25-Oct-19
Restless Creature: Wendy Whelan,"$147,780 ",Abramorama,N/A,N/A,Documentary,23-May-17
Blade of the Immortal,"$150,532 ",Magnolia Pictures,N/A,R,"Action,Drama",3-Nov-17
3 Generations,"$155,936 ",The Weinstein Company,N/A,PG-13,Drama,5-May-17
The Unknown Girl,"$150,549 ",IFC Films,N/A,N/A,"Crime,Drama,Mystery,Thriller",8-Sep-17
11-Sep,"$170,000 ",Atlas Distribution Company,N/A,R,"Action,Crime,Thriller",8-Sep-17
The Void,"$151,042 ",Screen Media Films,N/A,N/A,"Horror,Mystery,Sci-Fi,Thriller",7-Apr-17
"Polina, danser sa vie","$165,203 ",Oscilloscope,N/A,N/A,Drama,25-Aug-17
Valley of Bones,"$168,738 ",Smith Global Media,N/A,R,"Crime,Thriller,Western",1-Sep-17
In This Corner of the World,"$172,147 ",FUNimation Entertainment,N/A,PG-13,"Animation,Drama,Family,History,War",11-Aug-17
Endless Poetry,"$153,440 ",ABKCO Films,N/A,N/A,"Biography,Drama,Fantasy",14-Jul-17
Mr. Gaga: A True Story of Love and Dance,"$173,994 ",Abramorama,N/A,N/A,"Biography,Documentary",1-Feb-17
The Journey,"$155,475 ",IFC Films,N/A,PG-13,Drama,16-Jun-17
Manifesto,"$161,101 ",FilmRise,N/A,N/A,Drama,10-May-17
Champion,"$175,232 ",ArtAffects Entertainment,N/A,PG,"Drama,Family,Sport",19-May-17
David Lynch: The Art Life,"$171,419 ",Janus Films,N/A,N/A,"Biography,Documentary",31-Mar-17
Marjorie Prime,"$180,608 ",FilmRise,N/A,N/A,"Drama,Mystery,Romance,Sci-Fi",18-Aug-17
The Bad Batch,"$180,851 ",Neon,N/A,R,"Drama,Horror,Romance,Sci-Fi",23-Jun-17
13 Minutes,"$161,531 ",Sony Pictures Classics,N/A,R,"Biography,Drama,War",30-Jun-17
The Insult,"$1,001,305 ",Cohen Media Group,N/A,R,"Crime,Drama,Thriller",12-Jan-18
Wildlife,"$1,050,616 ",IFC Films,N/A,PG-13,Drama,19-Oct-18
Graduation,"$175,975 ",IFC Films,N/A,R,"Crime,Drama",7-Apr-17
Take Every Wave: The Life of Laird Hamilton,"$176,076 ",IFC Films,N/A,N/A,"Documentary,Sport",29-Sep-17
Past Life,"$180,099 ",Orion Pictures,N/A,N/A,Drama,2-Jun-17
Nothing to Lose,"$1,016,188 ",Swen Releasing,N/A,PG,"Biography,Drama",11-May-18
The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,"$1,023,233 ",Fathom Events,N/A,N/A,Musical,27-Oct-18
Labyrinth,"$993,336 ",Fathom Events,N/A,N/A,"Adventure,Family,Fantasy,Musical",N/A
The Metropolitan Opera HD Live: Rossini: Semiramide,"$1,033,651 ",Fathom Events,N/A,N/A,Musical,10-Mar-18
Zero,"$1,035,388 ",Yash Raj Films,N/A,N/A,"Comedy,Drama,Romance",21-Dec-18
Yellow Submarine,"$992,305 ",Abramorama,N/A,N/A,"Adventure,Animation,Comedy,Fantasy,Musical",8-Jul-18
The Dark Crystal,"$1,036,956 ",Fathom Events,N/A,N/A,"Adventure,Family,Fantasy",25-Feb-18
The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,"$1,115,018 ",Fathom Events,N/A,N/A,Musical,10-Feb-18
Elvis: The Comeback Special,"$1,010,657 ",Fathom Events,N/A,N/A,"Documentary,Music,Musical",N/A
Raid,"$1,010,385 ",Eros International,N/A,N/A,"Action,Crime,Drama,Thriller",16-Mar-18
Along With the Gods: The Two Worlds,"$1,908,823 ",Well Go USA Entertainment,N/A,N/A,"Action,Drama,Fantasy",22-Dec-17
Qué León,"$2,607,916 ",Spanglish Movies,N/A,PG-13,"Comedy,Romance",29-Nov-18
The Metropolitan Opera HD Live: Verdi: Luisa Miller,"$1,166,858 ",Fathom Events,N/A,N/A,Musical,14-Apr-18
My Neighbor Totoro,"$1,144,649 ",Fathom Events,N/A,N/A,"Animation,Family,Fantasy",30-Sep-18
Spirited Away,"$1,175,067 ",Fathom Events,N/A,PG,"Adventure,Animation,Family,Fantasy,Mystery",28-Oct-18
Lean on Pete,"$1,163,056 ",A24,N/A,R,"Adventure,Drama,Sport",6-Apr-18
The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,"$1,195,758 ",Fathom Events,N/A,N/A,Musical,20-Oct-18
Andhadhun,"$1,193,046 ",Eros International,N/A,N/A,"Crime,Thriller",5-Oct-18
Grease,"$1,213,413 ",Fathom Events,"$6,000,000 ",PG-13,"Musical,Romance",8-Apr-18
Mandy,"$1,214,525 ",RLJE Films,N/A,N/A,"Action,Fantasy,Horror,Mystery,Thriller",13-Sep-18
Beautifully Broken,"$1,209,645 ",ArtAffects Entertainment,N/A,PG-13,Drama,24-Aug-18
An Interview with God,"$1,201,434 ",Fathom Events,N/A,N/A,"Drama,Mystery",20-Aug-18
Bolshoi Ballet: The Golden Age,"$171,916 ",Fathom Events,N/A,N/A,N/A,7-Apr-19
Ashfall,"$372,562 ",Capelight Pictures,N/A,N/A,"Action,Drama",19-Dec-19
India's Most Wanted,"$176,858 ",FIP,N/A,Not Rated,"Action,Thriller",24-May-19
The Warrior Queen of Jhansi,"$177,289 ",Roadside Attractions,N/A,R,"Action,Adventure,Drama,Fantasy,War",15-Nov-19
Along With the Gods: The Last 49 Days,"$1,200,246 ",Well Go USA Entertainment,N/A,N/A,"Action,Drama,Fantasy",1-Aug-18
Bolshoi Ballet: Raymonda,"$181,361 ",Fathom Events,N/A,N/A,N/A,27-Oct-19
To Dust,"$184,495 ",Good Deed Entertainment,N/A,R,"Comedy,Drama",8-Feb-19
Raymonda: Bolshoi Ballet,"$181,361 ",Fathom Events,N/A,N/A,Music,27-Oct-19
Robin Hood,"$30,824,628 ",Lionsgate,"$100,000,000 ",PG-13,"Action,Adventure,Thriller",21-Nov-18
Nureyev: Lifting the Curtain,"$165,203 ",CineLife Entertainment,N/A,N/A,Documentary,19-Apr-19
Giant Little Ones,"$181,507 ",Vertical Entertainment,N/A,R,Drama,1-Mar-19
Marjaavaan,"$174,164 ",Eros International,N/A,N/A,"Action,Romance",15-Nov-19
42nd Street: The Musical,"$187,440 ",Fathom Events,N/A,Not Rated,Musical,1-May-19
"Iyengar: The Man, Yoga, and the Student's Journey","$176,387 ",Kino Lorber,N/A,N/A,Documentary,12-Apr-19
Tigers Are Not Afraid,"$175,559 ",Variance Films,N/A,N/A,"Fantasy,Horror,Mystery",21-Aug-19
Mr. Klein,"$191,953 ",Rialto Pictures,N/A,N/A,"Crime,Drama,Mystery,Thriller,War",6-Sep-19
The Divine Plan,"$190,031 ",Fathom Events,N/A,N/A,Documentary,6-Nov-19
Heading Home: The Tale of Team Israel,"$207,533 ",Menemsha Films,N/A,N/A,"Comedy,Documentary,Drama,Sport",14-Dec-18
The River and the Wall,"$183,602 ",Gravitas Ventures,N/A,N/A,"Adventure,Documentary",3-May-19
A Beautiful Planet,"$15,643,044 ",IMAX,N/A,N/A,Documentary,29-Apr-16
Bolshoi Ballet: Le Corsaire,"$190,192 ",Fathom Events,N/A,N/A,N/A,17-Nov-19
Whose Streets?,"$182,799 ",Magnolia Pictures,N/A,R,Documentary,11-Aug-17
Friendsgiving Day #2,"$198,869 ",Fathom Events,N/A,N/A,N/A,N/A
Pagalpanti,"$423,340 ",Eros International,N/A,N/A,"Action,Comedy",22-Nov-19
Spark: A Space Tail,"$196,458 ",Open Road Films (II),N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",14-Apr-17
Almost Christmas,"$42,158,780 ",Universal Pictures,"$17,000,000 ",PG-13,"Comedy,Drama",11-Nov-16
Risk,"$200,219 ",Neon,N/A,N/A,Documentary,5-May-17
Embrace: The Documentary,"$629,126 ",GathrFilms,N/A,N/A,Documentary,19-Sep-16
Rumble: The Indians Who Rocked The World,"$226,006 ",Kino Lorber,N/A,N/A,"Documentary,Music",18-May-17
The Adventurers,"$216,556 ",Well Go USA Entertainment,N/A,N/A,"Action,Adventure,Crime,Drama",18-Aug-17
Chasing the Dragon II: Wild Wild Bunch,"$196,634 ",Well Go USA Entertainment,N/A,Not Rated,"Action,Biography,Crime,Thriller",7-Jun-19
Truman,"$210,840 ",FilmRise,N/A,N/A,"Comedy,Drama",7-Apr-17
All I See Is You,"$217,644 ",Open Road Films (II),"$30,000,000 ",R,"Drama,Mystery,Romance",27-Oct-17
Railroad Tigers,"$218,044 ",Well Go USA Entertainment,N/A,N/A,"Action,Adventure,Comedy,Family,War",6-Jan-17
The Fortress,"$252,895 ",CJ Entertainment,N/A,N/A,"Action,Drama,History,War",6-Oct-17
The Prison,"$207,481 ",Well Go USA Entertainment,N/A,N/A,"Action,Crime",31-Mar-17
California Typewriter,"$218,563 ",Gravitas Ventures,N/A,N/A,Documentary,18-Aug-17
Little Shop of Horrors,"$233,865 ",Fathom Events,N/A,PG-13,"Comedy,Horror,Musical,Romance,Sci-Fi",27-Oct-17
Jeremiah Tower: The Last Magnificent,"$228,153 ",The Orchard,N/A,R,"Biography,Documentary",21-Apr-17
Family,"$194,601 ",The Film Arcade,N/A,R,Comedy,19-Apr-19
The Breadwinner,"$312,381 ",GKIDS,N/A,PG-13,"Animation,Drama,Family,War",17-Nov-17
American Satan,"$237,708 ",Sumerian Films,N/A,R,"Drama,Music,Thriller",13-Oct-17
